Date,Open,High,Low,Close,Adj Close,Volume
2023-06-20,1133.000000,1170.750000,1132.500000,1168.650024,1147.682617,3504867
2023-06-21,1175.000000,1175.699951,1161.650024,1170.449951,1149.450195,2019683
2023-06-22,1170.150024,1170.449951,1158.849976,1163.400024,1142.526855,972005
2023-06-23,1161.900024,1170.550049,1151.000000,1165.150024,1144.245361,1699790
2023-06-26,1167.250000,1175.949951,1163.050049,1167.500000,1146.553223,1190307
2023-06-27,1167.000000,1174.449951,1160.199951,1170.000000,1149.008301,1504039
2023-06-28,1170.000000,1170.000000,1170.000000,1170.000000,1149.008301,0
2023-06-30,1170.349976,1194.000000,1165.000000,1187.949951,1166.636353,3036648
2023-07-03,1190.000000,1195.000000,1174.500000,1181.599976,1160.400269,1749952
2023-07-04,1182.000000,1193.000000,1178.550049,1190.599976,1169.238770,1094468
2023-07-05,1194.000000,1202.599976,1187.599976,1194.800049,1173.363525,1653610
2023-07-06,1194.800049,1198.000000,1174.949951,1180.650024,1159.467285,2334220
2023-07-07,1178.150024,1182.949951,1153.800049,1157.599976,1136.830811,2159585
2023-07-10,1160.000000,1161.900024,1120.000000,1124.500000,1104.324829,3960400
2023-07-11,1131.750000,1131.750000,1112.000000,1114.900024,1094.896973,4982603
2023-07-12,1119.699951,1124.500000,1102.449951,1110.550049,1090.625122,3824027
2023-07-13,1100.000000,1124.400024,1087.050049,1108.800049,1088.906372,12294227
2023-07-14,1114.199951,1157.099976,1111.550049,1150.949951,1130.300171,6605038
2023-07-17,1151.949951,1172.000000,1143.650024,1153.750000,1133.049927,3159479
2023-07-18,1158.949951,1170.000000,1146.400024,1167.199951,1146.258545,2431478
2023-07-19,1165.000000,1174.900024,1157.000000,1169.050049,1148.075439,2242397
2023-07-20,1160.000000,1162.800049,1148.000000,1155.800049,1144.856323,1990001
2023-07-21,1110.000000,1139.900024,1095.000000,1115.449951,1104.888306,5259150
2023-07-24,1120.000000,1127.699951,1111.000000,1112.900024,1102.362427,2672505
2023-07-25,1118.500000,1119.000000,1105.099976,1111.550049,1101.025269,2506726
